source https://www.rba.gov.au/statistics/historical-data.html
Source,WM/Reuters,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA,IMF
Publication date,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,29-Dec-2017,28-Nov-2014,29-Dec-2017,30-Nov-2015,29-Dec-2017
Series ID,FXRUSD,FXRTWI,FXRCR,FXRJY,FXREUR,FXRSKW,FXRUKPS,FXRSD,FXRIRE,FXRTB,FXRNZD,FXRNTD,FXRMR,FXRIR,FXRVD,FXRUAED,FXRPNGK,FXRHKD,FXRCD,FXRSARD,FXRSF,FXRPHP,FXRSDR
13-Dec-2017,0.7570,63.70,5.0104,85.80,0.6440,825.51,0.5681,1.0234,48.78,24.66,1.0894,22.73,3.0855,10284,17194,2.7801,2.4380,5.9095,0.9732,,0.7497,,0.5365
14-Dec-2017,0.7666,64.30,5.0667,86.34,0.6478,833.52,0.5705,1.0325,49.30,24.89,1.0945,23.01,3.1258,10399,17413,2.8153,2.4689,5.9873,0.9825,,0.7549,,0.5437
15-Dec-2017,0.7675,64.30,5.0713,86.22,0.6513,835.92,0.5711,1.0334,49.20,24.97,1.0938,23.03,3.1364,10420,17436,2.8186,2.4718,5.9955,0.9812,,0.7588,,0.5425
18-Dec-2017,0.7658,64.30,5.0634,86.29,0.6511,833.42,0.5743,1.0332,49.15,24.94,1.0920,22.98,3.1298,10403,17394,2.8124,2.4663,5.9835,0.9844,,0.7584,,0.5416
19-Dec-2017,0.7669,64.40,5.0737,86.38,0.6503,833.24,0.5730,1.0336,49.20,25.14,1.0953,22.99,3.1255,10416,17420,2.8164,2.4699,5.9966,0.9865,,0.7559,,0.5427
20-Dec-2017,0.7658,64.20,5.0512,86.52,0.6467,828.98,0.5718,1.0315,49.06,25.10,1.1003,22.93,3.1214,10400,17395,2.8124,2.4743,5.9879,0.9859,,0.7545,,0.5416
21-Dec-2017,0.7666,64.20,5.0371,86.92,0.6460,828.43,0.5737,1.0310,49.16,25.09,1.0939,22.98,3.1254,10389,17411,2.8153,2.4769,6.0008,0.9832,,0.7559,,0.5417
22-Dec-2017,0.7714,64.60,5.0712,87.41,0.6510,831.18,0.5766,1.0370,49.39,25.26,1.0992,23.09,3.1535,10452,17520,2.8330,2.4924,6.0330,0.9830,,0.7631,,0.5448
27-Dec-2017,0.7745,64.80,5.0771,87.68,0.6522,832.74,0.5789,1.0395,49.67,25.43,1.0984,23.17,3.1615,10503,17589,2.8444,2.5024,6.0523,0.9821,,0.7660,,0.5466
28-Dec-2017,0.7791,65.00,5.0985,88.04,0.6537,834.84,0.5804,1.0431,50.00,25.42,1.0995,23.22,3.1744,10565,17693,2.8612,2.5173,6.0893,0.9838,,0.7668,,0.5495
29-Dec-2017,0.7800,64.90,5.0842,87.94,0.6530,835.09,0.5797,1.0424,49.91,25.45,1.0991,23.16,3.1660,10572,17713,2.8646,2.5202,6.0994,0.9798,,0.7633,,0.5490
